name,types,weaknesses,evolutions,generation,is_legendary,is_mythical,hp,attack,defense,speed,special_attack,special_defense
bulbasaur,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['bulbasaur', 'ivysaur', 'venusaur']",1,False,False,45,49,49,45,65,65
ivysaur,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['bulbasaur', 'ivysaur', 'venusaur']",1,False,False,60,62,63,60,80,80
venusaur,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['bulbasaur', 'ivysaur', 'venusaur']",1,False,False,80,82,83,80,100,100
charmander,['fire'],"['water', 'rock', 'ground']","['charmander', 'charmeleon', 'charizard']",1,False,False,39,52,43,65,60,50
charmeleon,['fire'],"['water', 'rock', 'ground']","['charmander', 'charmeleon', 'charizard']",1,False,False,58,64,58,80,80,65
charizard,"['fire', 'flying']","['electric', 'ice', 'water', 'ground', 'rock']","['charmander', 'charmeleon', 'charizard']",1,False,False,78,84,78,100,109,85
squirtle,['water'],"['electric', 'grass']","['squirtle', 'wartortle', 'blastoise']",1,False,False,44,48,65,43,50,64
wartortle,['water'],"['electric', 'grass']","['squirtle', 'wartortle', 'blastoise']",1,False,False,59,63,80,58,65,80
blastoise,['water'],"['electric', 'grass']","['squirtle', 'wartortle', 'blastoise']",1,False,False,79,83,100,78,85,105
caterpie,['bug'],"['fire', 'rock', 'flying']","['caterpie', 'metapod', 'butterfree']",1,False,False,45,30,35,45,20,20
metapod,['bug'],"['fire', 'rock', 'flying']","['caterpie', 'metapod', 'butterfree']",1,False,False,50,20,55,30,25,25
butterfree,"['bug', 'flying']","['fire', 'electric', 'ice', 'flying', 'rock']","['caterpie', 'metapod', 'butterfree']",1,False,False,60,45,50,70,90,80
weedle,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['weedle', 'kakuna', 'beedrill']",1,False,False,40,35,30,50,20,20
kakuna,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['weedle', 'kakuna', 'beedrill']",1,False,False,45,25,50,35,25,25
beedrill,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['weedle', 'kakuna', 'beedrill']",1,False,False,65,90,40,75,45,80
pidgey,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['pidgey', 'pidgeotto', 'pidgeot']",1,False,False,40,45,40,56,35,35
pidgeotto,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['pidgey', 'pidgeotto', 'pidgeot']",1,False,False,63,60,55,71,50,50
pidgeot,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['pidgey', 'pidgeotto', 'pidgeot']",1,False,False,83,80,75,101,70,70
rattata,['normal'],['fighting'],"['rattata', 'raticate']",1,False,False,30,56,35,72,25,35
raticate,['normal'],['fighting'],"['rattata', 'raticate']",1,False,False,55,81,60,97,50,70
spearow,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['spearow', 'fearow']",1,False,False,40,60,30,70,31,31
fearow,"['normal', 'flying']","['ice', 'rock', 'fighting', 'electric']","['spearow', 'fearow']",1,False,False,65,90,65,100,61,61
ekans,['poison'],"['psychic', 'ground']","['ekans', 'arbok']",1,False,False,35,60,44,55,40,54
arbok,['poison'],"['psychic', 'ground']","['ekans', 'arbok']",1,False,False,60,95,69,80,65,79
pikachu,['electric'],['ground'],"['pichu', 'pikachu', 'raichu']",1,False,False,35,55,40,90,50,50
raichu,['electric'],['ground'],"['pichu', 'pikachu', 'raichu']",1,False,False,60,90,55,110,90,80
sandshrew,['ground'],"['ice', 'water', 'grass']","['sandshrew', 'sandslash']",1,False,False,50,75,85,40,20,30
sandslash,['ground'],"['ice', 'water', 'grass']","['sandshrew', 'sandslash']",1,False,False,75,100,110,65,45,55
nidoran-f,['poison'],"['psychic', 'ground']","['nidoran-f', 'nidorina', 'nidoqueen']",1,False,False,55,47,52,41,40,40
nidorina,['poison'],"['psychic', 'ground']","['nidoran-f', 'nidorina', 'nidoqueen']",1,False,False,70,62,67,56,55,55
nidoqueen,"['poison', 'ground']","['psychic', 'ice', 'water', 'ground', 'grass']","['nidoran-f', 'nidorina', 'nidoqueen']",1,False,False,90,92,87,76,75,85
nidoran-m,['poison'],"['psychic', 'ground']","['nidoran-m', 'nidorino', 'nidoking']",1,False,False,46,57,40,50,40,40
nidorino,['poison'],"['psychic', 'ground']","['nidoran-m', 'nidorino', 'nidoking']",1,False,False,61,72,57,65,55,55
nidoking,"['poison', 'ground']","['psychic', 'ice', 'water', 'ground', 'grass']","['nidoran-m', 'nidorino', 'nidoking']",1,False,False,81,102,77,85,85,75
clefairy,['fairy'],"['poison', 'steel']","['cleffa', 'clefairy', 'clefable']",1,False,False,70,45,48,35,60,65
clefable,['fairy'],"['poison', 'steel']","['cleffa', 'clefairy', 'clefable']",1,False,False,95,70,73,60,95,90
vulpix,['fire'],"['water', 'rock', 'ground']","['vulpix', 'ninetales']",1,False,False,38,41,40,65,50,65
ninetales,['fire'],"['water', 'rock', 'ground']","['vulpix', 'ninetales']",1,False,False,73,76,75,100,81,100
jigglypuff,"['normal', 'fairy']","['poison', 'fighting', 'steel']","['igglybuff', 'jigglypuff', 'wigglytuff']",1,False,False,115,45,20,20,45,25
wigglytuff,"['normal', 'fairy']","['poison', 'fighting', 'steel']","['igglybuff', 'jigglypuff', 'wigglytuff']",1,False,False,140,70,45,45,85,50
zubat,"['poison', 'flying']","['psychic', 'electric', 'ice', 'ground', 'rock']","['zubat', 'golbat', 'crobat']",1,False,False,40,45,35,55,30,40
golbat,"['poison', 'flying']","['psychic', 'electric', 'ice', 'ground', 'rock']","['zubat', 'golbat', 'crobat']",1,False,False,75,80,70,90,65,75
oddish,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['oddish', 'gloom', 'vileplume']",1,False,False,45,50,55,30,75,65
gloom,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['oddish', 'gloom', 'vileplume']",1,False,False,60,65,70,40,85,75
vileplume,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['oddish', 'gloom', 'vileplume']",1,False,False,75,80,85,50,110,90
paras,"['bug', 'grass']","['fire', 'poison', 'ice', 'flying', 'bug', 'rock']","['paras', 'parasect']",1,False,False,35,70,55,25,45,55
parasect,"['bug', 'grass']","['fire', 'poison', 'ice', 'flying', 'bug', 'rock']","['paras', 'parasect']",1,False,False,60,95,80,30,60,80
venonat,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['venonat', 'venomoth']",1,False,False,60,55,50,45,40,55
venomoth,"['bug', 'poison']","['psychic', 'fire', 'flying', 'ground', 'rock']","['venonat', 'venomoth']",1,False,False,70,65,60,90,90,75
diglett,['ground'],"['ice', 'water', 'grass']","['diglett', 'dugtrio']",1,False,False,10,55,25,95,35,45
dugtrio,['ground'],"['ice', 'water', 'grass']","['diglett', 'dugtrio']",1,False,False,35,100,50,120,50,70
meowth,['normal'],['fighting'],"['meowth', 'persian']",1,False,False,40,45,35,90,40,40
persian,['normal'],['fighting'],"['meowth', 'persian']",1,False,False,65,70,60,115,65,65
psyduck,['water'],"['electric', 'grass']","['psyduck', 'golduck']",1,False,False,50,52,48,55,65,50
golduck,['water'],"['electric', 'grass']","['psyduck', 'golduck']",1,False,False,80,82,78,85,95,80
mankey,['fighting'],"['fairy', 'psychic', 'flying']","['mankey', 'primeape', 'annihilape']",1,False,False,40,80,35,70,35,45
primeape,['fighting'],"['fairy', 'psychic', 'flying']","['mankey', 'primeape', 'annihilape']",1,False,False,65,105,60,95,60,70
growlithe,['fire'],"['water', 'rock', 'ground']","['growlithe', 'arcanine']",1,False,False,55,70,45,60,70,50
arcanine,['fire'],"['water', 'rock', 'ground']","['growlithe', 'arcanine']",1,False,False,90,110,80,95,100,80
poliwag,['water'],"['electric', 'grass']","['poliwag', 'poliwhirl', 'poliwrath']",1,False,False,40,50,40,90,40,40
poliwhirl,['water'],"['electric', 'grass']","['poliwag', 'poliwhirl', 'poliwrath']",1,False,False,65,65,65,90,50,50
poliwrath,"['water', 'fighting']","['psychic', 'electric', 'flying', 'grass', 'fairy']","['poliwag', 'poliwhirl', 'poliwrath']",1,False,False,90,95,95,70,70,90
abra,['psychic'],"['dark', 'ghost', 'bug']","['abra', 'kadabra', 'alakazam']",1,False,False,25,20,15,90,105,55
kadabra,['psychic'],"['dark', 'ghost', 'bug']","['abra', 'kadabra', 'alakazam']",1,False,False,40,35,30,105,120,70
alakazam,['psychic'],"['dark', 'ghost', 'bug']","['abra', 'kadabra', 'alakazam']",1,False,False,55,50,45,120,135,95
machop,['fighting'],"['fairy', 'psychic', 'flying']","['machop', 'machoke', 'machamp']",1,False,False,70,80,50,35,35,35
machoke,['fighting'],"['fairy', 'psychic', 'flying']","['machop', 'machoke', 'machamp']",1,False,False,80,100,70,45,50,60
machamp,['fighting'],"['fairy', 'psychic', 'flying']","['machop', 'machoke', 'machamp']",1,False,False,90,130,80,55,65,85
bellsprout,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['bellsprout', 'weepinbell', 'victreebel']",1,False,False,50,75,35,40,70,30
weepinbell,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['bellsprout', 'weepinbell', 'victreebel']",1,False,False,65,90,50,55,85,45
victreebel,"['grass', 'poison']","['fire', 'poison', 'psychic', 'ice', 'flying', 'ground', 'bug']","['bellsprout', 'weepinbell', 'victreebel']",1,False,False,80,105,65,70,100,70
tentacool,"['water', 'poison']","['psychic', 'electric', 'grass', 'ground']","['tentacool', 'tentacruel']",1,False,False,40,40,35,70,50,100
tentacruel,"['water', 'poison']","['psychic', 'electric', 'grass', 'ground']","['tentacool', 'tentacruel']",1,False,False,80,70,65,100,80,120
geodude,"['rock', 'ground']","['ice', 'water', 'ground', 'steel', 'grass', 'fighting']","['geodude', 'graveler', 'golem']",1,False,False,40,80,100,20,30,30
graveler,"['rock', 'ground']","['ice', 'water', 'ground', 'steel', 'grass', 'fighting']","['geodude', 'graveler', 'golem']",1,False,False,55,95,115,35,45,45
golem,"['rock', 'ground']","['ice', 'water', 'ground', 'steel', 'grass', 'fighting']","['geodude', 'graveler', 'golem']",1,False,False,80,120,130,45,55,65
ponyta,['fire'],"['water', 'rock', 'ground']","['ponyta', 'rapidash']",1,False,False,50,85,55,90,65,65
rapidash,['fire'],"['water', 'rock', 'ground']","['ponyta', 'rapidash']",1,False,False,65,100,70,105,80,80
slowpoke,"['water', 'psychic']","['electric', 'dark', 'ghost', 'grass', 'bug']","['slowpoke', 'slowbro']",1,False,False,90,65,65,15,40,40
slowbro,"['water', 'psychic']","['electric', 'dark', 'ghost', 'grass', 'bug']","['slowpoke', 'slowbro']",1,False,False,95,75,110,30,100,80
magnemite,"['electric', 'steel']","['fire', 'fighting', 'ground']","['magnemite', 'magneton', 'magnezone']",1,False,False,25,35,70,45,95,55
